
Segment Center Intensity Max Ch=3 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
195,,Segment,3,3,Image 1,3,1,100000010,510000002302,
208,,Segment,3,4,Image 1,3,1,100000010,510000002331,
169,,Segment,3,1,Image 1,1,1,100000010,510000002342,
180,,Segment,3,2,Image 1,1,1,100000010,510000002358,
180,,Segment,3,3,Image 1,1,1,100000010,510000002363,
198,,Segment,3,3,Image 1,2,1,100000010,510000002365,
186,,Segment,3,1,Image 1,2,1,100000010,510000002368,
186,,Segment,3,3,Image 1,2,1,100000010,510000002382,
136,,Segment,3,1,Image 1,2,1,100000010,510000002396,
196,,Segment,3,2,Image 1,2,1,100000010,510000002399,
136,,Segment,3,2,Image 1,3,1,100000010,510000002407,
144,,Segment,3,3,Image 1,3,1,100000010,510000002412,
192,,Segment,3,4,Image 1,3,1,100000010,510000002417,
145,,Segment,3,4,Image 1,4,1,100000010,510000002428,
118,,Segment,3,1,Image 1,2,1,100000010,510000002431,
146,,Segment,3,2,Image 1,2,1,100000010,510000002441,
146,,Segment,3,3,Image 1,2,1,100000010,510000002444,
154,,Segment,3,4,Image 1,2,1,100000010,510000002447,
143,,Segment,3,4,Image 1,3,1,100000010,510000002454,
158,,Segment,3,5,Image 1,3,1,100000010,510000002456,
137,,Segment,3,5,Image 1,4,1,100000010,510000002459,
183,,Segment,3,3,Image 1,3,1,100000010,510000002461,
186,,Segment,3,2,Image 1,3,1,100000010,510000002466,
197,,Segment,3,2,Image 1,2,1,100000010,510000002479,
209,,Segment,3,3,Image 1,4,1,100000010,510000002488,
149,,Segment,3,2,Image 1,1,1,100000011,510000002505,
178,,Segment,3,3,Image 1,1,1,100000011,510000002515,
195,,Segment,3,2,Image 1,2,1,100000011,510000002528,
150,,Segment,3,2,Image 1,3,1,100000011,510000002550,
196,,Segment,3,4,Image 1,2,1,100000011,510000002565,
173,,Segment,3,4,Image 1,3,1,100000011,510000002578,
173,,Segment,3,3,Image 1,3,1,100000011,510000002584,
188,,Segment,3,2,Image 1,3,1,100000011,510000002606,
178,,Segment,3,1,Image 1,1,1,100000011,510000002630,
