
Segment Intensity Max Ch=3 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
219,,Segment,3,3,Image 1,4,1,100000010,510000002488,
206,,Segment,3,2,Image 1,1,1,100000011,510000002505,
198,,Segment,3,3,Image 1,1,1,100000011,510000002515,
213,,Segment,3,2,Image 1,2,1,100000011,510000002528,
192,,Segment,3,2,Image 1,3,1,100000011,510000002550,
212,,Segment,3,4,Image 1,2,1,100000011,510000002565,
200,,Segment,3,4,Image 1,3,1,100000011,510000002578,
182,,Segment,3,3,Image 1,3,1,100000011,510000002584,
212,,Segment,3,2,Image 1,3,1,100000011,510000002606,
195,,Segment,3,1,Image 1,1,1,100000011,510000002630,
202,,Segment,3,1,Image 1,2,1,100000011,510000002643,
200,,Segment,3,3,Image 1,2,1,100000011,510000002661,
217,,Segment,3,3,Image 1,3,1,100000011,510000002664,
210,,Segment,3,3,Image 1,2,1,100000011,510000002675,
216,,Segment,3,2,Image 1,1,1,100000012,510000002702,
216,,Segment,3,3,Image 1,1,1,100000012,510000002709,
201,,Segment,3,4,Image 1,1,1,100000012,510000002731,
198,,Segment,3,4,Image 1,2,1,100000012,510000002740,
216,,Segment,3,2,Image 1,2,1,100000012,510000002746,
192,,Segment,3,3,Image 1,2,1,100000012,510000002752,
200,,Segment,3,4,Image 1,2,1,100000012,510000002760,
217,,Segment,3,5,Image 1,2,1,100000012,510000002776,
205,,Segment,3,5,Image 1,3,1,100000012,510000002784,
223,,Segment,3,4,Image 1,3,1,100000012,510000002791,
206,,Segment,3,1,Image 1,1,1,100000012,510000002813,
207,,Segment,3,2,Image 1,1,1,100000012,510000002820,
215,,Segment,3,2,Image 1,2,1,100000012,510000002832,
218,,Segment,3,3,Image 1,2,1,100000012,510000002836,
216,,Segment,3,2,Image 1,1,1,100000012,510000002867,
220,,Segment,3,3,Image 1,1,1,100000012,510000002869,
224,,Segment,3,3,Image 1,2,1,100000012,510000002897,
218,,Segment,3,2,Image 1,2,1,100000012,510000002921,
219,,Segment,3,3,Image 1,2,1,100000012,510000002930,
