
Segment Center Intensity Median Ch=2 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
96.5625,,Segment,2,1,Image 1,1,1,100000007,510000003332,
62.5312,,Segment,2,1,Image 1,1,1,100000007,510000003333,
40,,Segment,2,0,Image 1,1,1,100000008,510000003334,
51.0156,,Segment,2,1,Image 1,1,1,100000008,510000003335,
110,,Segment,2,0,Image 1,1,1,100000009,510000003336,
101.016,,Segment,2,2,Image 1,1,1,100000009,510000003337,
98.0078,,Segment,2,0,Image 1,1,1,100000010,510000003338,
101.016,,Segment,2,0,Image 1,1,1,100000010,510000003339,
24,,Segment,2,0,Image 1,1,1,100000011,510000003340,
32.0156,,Segment,2,1,Image 1,1,1,100000011,510000003341,
24.501,,Segment,2,1,Image 1,2,1,100000011,510000003342,
50.0312,,Segment,2,2,Image 1,2,1,100000011,510000003343,
83.0156,,Segment,2,3,Image 1,2,1,100000011,510000003344,
30.0078,,Segment,2,1,Image 1,2,1,100000011,510000003345,
54.5312,,Segment,2,2,Image 1,2,1,100000011,510000003346,
63,,Segment,2,0,Image 1,1,1,100000011,510000003347,
93.5625,,Segment,2,1,Image 1,1,1,100000012,510000003348,
66.5078,,Segment,2,1,Image 1,1,1,100000012,510000003349,
34,,Segment,2,1,Image 1,1,1,100000013,510000003350,
73.0625,,Segment,2,2,Image 1,1,1,100000013,510000003351,
45.5156,,Segment,2,2,Image 1,2,1,100000013,510000003352,
102.062,,Segment,2,3,Image 1,3,1,100000013,510000003353,
136.016,,Segment,2,2,Image 1,1,1,100000013,510000003354,
149.504,,Segment,2,3,Image 1,1,1,100000013,510000003355,
