
Segment Mean Diameter
 ==================== 
Segment Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
4.61293,µm,Segment,4,3,1,100000013,510000003111,
4.55806,µm,Segment,4,4,1,100000013,510000003122,
6.99252,µm,Segment,1,1,1,100000013,510000003143,
10.3194,µm,Segment,1,1,1,100000013,510000003156,
5.62175,µm,Segment,2,1,1,100000013,510000003160,
5.55633,µm,Segment,2,2,1,100000013,510000003185,
4.83684,µm,Segment,3,2,1,100000013,510000003188,
4.62397,µm,Segment,4,2,1,100000013,510000003191,
4.58711,µm,Segment,4,3,1,100000013,510000003206,
12.3153,µm,Segment,1,1,1,100000013,510000003211,
5.59294,µm,Segment,4,1,1,100000013,510000003215,
4.96621,µm,Segment,4,2,1,100000013,510000003235,
5.08227,µm,Segment,3,2,1,100000013,510000003244,
5.96995,µm,Segment,2,2,1,100000013,510000003251,
4.76752,µm,Segment,3,2,1,100000013,510000003253,
4.56964,µm,Segment,3,3,1,100000013,510000003269,
4.60192,µm,Segment,3,3,1,100000013,510000003292,
3.50031,µm,Segment,2,1,1,100000000,510000003309,
7.12043,µm,Segment,1,1,1,100000000,510000003310,
3.88868,µm,Segment,2,1,1,100000000,510000003311,
8.61572,µm,Segment,1,1,1,100000001,510000003312,
5.24453,µm,Segment,2,1,1,100000001,510000003313,
9.34972,µm,Segment,1,1,1,100000002,510000003314,
9.34972,µm,Segment,1,1,1,100000002,510000003315,
4.45302,µm,Segment,2,1,1,100000002,510000003316,
14.5557,µm,Segment,0,1,1,100000003,510000003317,
9.6707,µm,Segment,1,1,1,100000003,510000003318,
9.10804,µm,Segment,1,2,1,100000003,510000003319,
7.87982,µm,Segment,2,2,1,100000003,510000003320,
8.21135,µm,Segment,6,4,1,100000003,510000003321,
8.21135,µm,Segment,7,4,1,100000003,510000003322,
8.21135,µm,Segment,7,5,1,100000003,510000003323,
2.32917,µm,Segment,4,5,1,100000003,510000003324,
11.082,µm,Segment,0,1,1,100000004,510000003325,
8.03847,µm,Segment,1,2,1,100000004,510000003326,
10.334,µm,Segment,0,1,1,100000004,510000003327,
14.5557,µm,Segment,1,1,1,100000005,510000003328,
13.4093,µm,Segment,1,1,1,100000006,510000003329,
8.39526,µm,Segment,2,2,1,100000006,510000003330,
12.0295,µm,Segment,1,1,1,100000006,510000003331,
9.94177,µm,Segment,1,1,1,100000007,510000003332,
9.47729,µm,Segment,1,1,1,100000007,510000003333,
16.5636,µm,Segment,0,1,1,100000008,510000003334,
9.83014,µm,Segment,1,1,1,100000008,510000003335,
16.3582,µm,Segment,0,1,1,100000009,510000003336,
5.25628,µm,Segment,2,1,1,100000009,510000003337,
18.22,µm,Segment,0,1,1,100000010,510000003338,
17.432,µm,Segment,0,1,1,100000010,510000003339,
12.8011,µm,Segment,0,1,1,100000011,510000003340,
8.09751,µm,Segment,1,1,1,100000011,510000003341,
7.30928,µm,Segment,1,2,1,100000011,510000003342,
5.93634,µm,Segment,2,2,1,100000011,510000003343,
5.63178,µm,Segment,3,2,1,100000011,510000003344,
7.30928,µm,Segment,1,2,1,100000011,510000003345,
5.93634,µm,Segment,2,2,1,100000011,510000003346,
12.8011,µm,Segment,0,1,1,100000011,510000003347,
11.8894,µm,Segment,1,1,1,100000012,510000003348,
11.8894,µm,Segment,1,1,1,100000012,510000003349,
14.7013,µm,Segment,1,1,1,100000013,510000003350,
8.01729,µm,Segment,2,1,1,100000013,510000003351,
7.0712,µm,Segment,2,2,1,100000013,510000003352,
5.16368,µm,Segment,3,3,1,100000013,510000003353,
7.38632,µm,Segment,2,1,1,100000013,510000003354,
7.10378,µm,Segment,3,1,1,100000013,510000003355,
