
Segment Center Intensity StdDev Ch=2 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
6.5,,Segment,2,1,Image 1,1,1,100000002,510000003315,
0.5,,Segment,2,2,Image 1,1,1,100000002,510000003316,
0,,Segment,2,0,Image 1,1,1,100000003,510000003317,
10,,Segment,2,1,Image 1,1,1,100000003,510000003318,
21.5,,Segment,2,1,Image 1,2,1,100000003,510000003319,
4.5,,Segment,2,2,Image 1,2,1,100000003,510000003320,
6.5,,Segment,2,6,Image 1,4,1,100000003,510000003321,
69.5,,Segment,2,7,Image 1,4,1,100000003,510000003322,
84.5,,Segment,2,7,Image 1,5,1,100000003,510000003323,
31,,Segment,2,4,Image 1,5,1,100000003,510000003324,
0,,Segment,2,0,Image 1,1,1,100000004,510000003325,
17.5,,Segment,2,1,Image 1,2,1,100000004,510000003326,
0,,Segment,2,0,Image 1,1,1,100000004,510000003327,
30.5,,Segment,2,1,Image 1,1,1,100000005,510000003328,
0,,Segment,2,1,Image 1,1,1,100000006,510000003329,
8,,Segment,2,2,Image 1,2,1,100000006,510000003330,
0,,Segment,2,1,Image 1,1,1,100000006,510000003331,
52.5,,Segment,2,1,Image 1,1,1,100000007,510000003332,
18.5,,Segment,2,1,Image 1,1,1,100000007,510000003333,
0,,Segment,2,0,Image 1,1,1,100000008,510000003334,
11,,Segment,2,1,Image 1,1,1,100000008,510000003335,
0,,Segment,2,0,Image 1,1,1,100000009,510000003336,
14,,Segment,2,2,Image 1,1,1,100000009,510000003337,
6,,Segment,2,0,Image 1,1,1,100000010,510000003338,
9,,Segment,2,0,Image 1,1,1,100000010,510000003339,
0,,Segment,2,0,Image 1,1,1,100000011,510000003340,
8,,Segment,2,1,Image 1,1,1,100000011,510000003341,
0.5,,Segment,2,1,Image 1,2,1,100000011,510000003342,
25,,Segment,2,2,Image 1,2,1,100000011,510000003343,
8,,Segment,2,3,Image 1,2,1,100000011,510000003344,
6,,Segment,2,1,Image 1,2,1,100000011,510000003345,
18.5,,Segment,2,2,Image 1,2,1,100000011,510000003346,
0,,Segment,2,0,Image 1,1,1,100000011,510000003347,
31.5,,Segment,2,1,Image 1,1,1,100000012,510000003348,
4.5,,Segment,2,1,Image 1,1,1,100000012,510000003349,
0,,Segment,2,1,Image 1,1,1,100000013,510000003350,
39,,Segment,2,2,Image 1,1,1,100000013,510000003351,
11.5,,Segment,2,2,Image 1,2,1,100000013,510000003352,
45,,Segment,2,3,Image 1,3,1,100000013,510000003353,
11,,Segment,2,2,Image 1,1,1,100000013,510000003354,
2.5,,Segment,2,3,Image 1,1,1,100000013,510000003355,
