
Segment Intensity Min Ch=2 Img=1
 ==================== 
Segment Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,2,2,Image 1,2,1,100000012,510000002921,
0,,Segment,2,3,Image 1,2,1,100000012,510000002930,
0,,Segment,2,3,Image 1,3,1,100000012,510000002947,
0,,Segment,2,2,Image 1,2,1,100000012,510000002966,
0,,Segment,2,3,Image 1,3,1,100000012,510000002982,
0,,Segment,2,4,Image 1,3,1,100000012,510000002984,
0,,Segment,2,4,Image 1,4,1,100000012,510000002999,
12,,Segment,2,3,Image 1,2,1,100000012,510000003014,
0,,Segment,2,3,Image 1,3,1,100000012,510000003020,
9,,Segment,2,3,Image 1,1,1,100000013,510000003039,
0,,Segment,2,3,Image 1,2,1,100000013,510000003056,
13,,Segment,2,4,Image 1,2,1,100000013,510000003061,
7,,Segment,2,4,Image 1,3,1,100000013,510000003074,
4,,Segment,2,3,Image 1,2,1,100000013,510000003081,
4,,Segment,2,4,Image 1,2,1,100000013,510000003083,
4,,Segment,2,4,Image 1,3,1,100000013,510000003090,
124,,Segment,2,5,Image 1,3,1,100000013,510000003093,
0,,Segment,2,5,Image 1,4,1,100000013,510000003106,
16,,Segment,2,4,Image 1,3,1,100000013,510000003111,
54,,Segment,2,4,Image 1,4,1,100000013,510000003122,
14,,Segment,2,1,Image 1,1,1,100000013,510000003143,
2,,Segment,2,1,Image 1,1,1,100000013,510000003156,
0,,Segment,2,2,Image 1,1,1,100000013,510000003160,
84,,Segment,2,2,Image 1,2,1,100000013,510000003185,
38,,Segment,2,3,Image 1,2,1,100000013,510000003188,
38,,Segment,2,4,Image 1,2,1,100000013,510000003191,
38,,Segment,2,4,Image 1,3,1,100000013,510000003206,
14,,Segment,2,1,Image 1,1,1,100000013,510000003211,
0,,Segment,2,4,Image 1,1,1,100000013,510000003215,
42,,Segment,2,4,Image 1,2,1,100000013,510000003235,
46,,Segment,2,3,Image 1,2,1,100000013,510000003244,
73,,Segment,2,2,Image 1,2,1,100000013,510000003251,
62,,Segment,2,3,Image 1,2,1,100000013,510000003253,
0,,Segment,2,3,Image 1,3,1,100000013,510000003269,
2,,Segment,2,3,Image 1,3,1,100000013,510000003292,
8,,Segment,2,2,Image 1,1,1,100000000,510000003309,
0,,Segment,2,1,Image 1,1,1,100000000,510000003310,
1,,Segment,2,2,Image 1,1,1,100000000,510000003311,
0,,Segment,2,1,Image 1,1,1,100000001,510000003312,
