
Segment Center Intensity Min Ch=3 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
34,,Segment,3,2,Image 1,3,1,100000011,510000002550,
83,,Segment,3,4,Image 1,2,1,100000011,510000002565,
99,,Segment,3,4,Image 1,3,1,100000011,510000002578,
13,,Segment,3,3,Image 1,3,1,100000011,510000002584,
18,,Segment,3,2,Image 1,3,1,100000011,510000002606,
74,,Segment,3,1,Image 1,1,1,100000011,510000002630,
76,,Segment,3,1,Image 1,2,1,100000011,510000002643,
83,,Segment,3,3,Image 1,2,1,100000011,510000002661,
83,,Segment,3,3,Image 1,3,1,100000011,510000002664,
29,,Segment,3,3,Image 1,2,1,100000011,510000002675,
132,,Segment,3,2,Image 1,1,1,100000012,510000002702,
16,,Segment,3,3,Image 1,1,1,100000012,510000002709,
180,,Segment,3,4,Image 1,1,1,100000012,510000002731,
181,,Segment,3,4,Image 1,2,1,100000012,510000002740,
90,,Segment,3,2,Image 1,2,1,100000012,510000002746,
90,,Segment,3,3,Image 1,2,1,100000012,510000002752,
65,,Segment,3,4,Image 1,2,1,100000012,510000002760,
94,,Segment,3,5,Image 1,2,1,100000012,510000002776,
94,,Segment,3,5,Image 1,3,1,100000012,510000002784,
47,,Segment,3,4,Image 1,3,1,100000012,510000002791,
58,,Segment,3,1,Image 1,1,1,100000012,510000002813,
10,,Segment,3,2,Image 1,1,1,100000012,510000002820,
88,,Segment,3,2,Image 1,2,1,100000012,510000002832,
39,,Segment,3,3,Image 1,2,1,100000012,510000002836,
75,,Segment,3,2,Image 1,1,1,100000012,510000002867,
101,,Segment,3,3,Image 1,1,1,100000012,510000002869,
104,,Segment,3,3,Image 1,2,1,100000012,510000002897,
75,,Segment,3,2,Image 1,2,1,100000012,510000002921,
100,,Segment,3,3,Image 1,2,1,100000012,510000002930,
127,,Segment,3,3,Image 1,3,1,100000012,510000002947,
31,,Segment,3,2,Image 1,2,1,100000012,510000002966,
90,,Segment,3,3,Image 1,3,1,100000012,510000002982,
126,,Segment,3,4,Image 1,3,1,100000012,510000002984,
77,,Segment,3,4,Image 1,4,1,100000012,510000002999,
113,,Segment,3,3,Image 1,2,1,100000012,510000003014,
88,,Segment,3,3,Image 1,3,1,100000012,510000003020,
83,,Segment,3,3,Image 1,1,1,100000013,510000003039,
75,,Segment,3,3,Image 1,2,1,100000013,510000003056,
161,,Segment,3,4,Image 1,2,1,100000013,510000003061,
169,,Segment,3,4,Image 1,3,1,100000013,510000003074,
26,,Segment,3,3,Image 1,2,1,100000013,510000003081,
75,,Segment,3,4,Image 1,2,1,100000013,510000003083,
75,,Segment,3,4,Image 1,3,1,100000013,510000003090,
155,,Segment,3,5,Image 1,3,1,100000013,510000003093,
137,,Segment,3,5,Image 1,4,1,100000013,510000003106,
108,,Segment,3,4,Image 1,3,1,100000013,510000003111,
146,,Segment,3,4,Image 1,4,1,100000013,510000003122,
130,,Segment,3,1,Image 1,1,1,100000013,510000003143,
97,,Segment,3,1,Image 1,1,1,100000013,510000003156,
96,,Segment,3,2,Image 1,1,1,100000013,510000003160,
149,,Segment,3,2,Image 1,2,1,100000013,510000003185,
