
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
107130,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000006,800000159,
107202,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000006,800000160,
107071,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000006,800000161,
107068,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000006,800000162,
107185,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000006,800000163,
107499,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000006,800000164,
107877,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000007,800000165,
108167,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000007,800000166,
108147,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000007,800000167,
108196,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000007,800000168,
107965,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000007,800000169,
108214,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000007,800000170,
107896,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000007,800000171,
107978,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000007,800000172,
107959,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000007,800000173,
107992,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000007,800000174,
107941,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000007,800000175,
107965,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000007,800000176,
107866,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000007,800000177,
107721,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000007,800000178,
107861,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000007,800000179,
107650,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000007,800000180,
107828,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000007,800000181,
107798,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000007,800000182,
107888,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000007,800000183,
107992,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000007,800000184,
107999,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000007,800000185,
107981,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000007,800000186,
108057,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000007,800000187,
107865,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000007,800000188,
107726,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000007,800000189,
107740,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000008,800000190,
107781,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000008,800000191,
107680,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000008,800000192,
107708,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000008,800000193,
107707,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000008,800000194,
107725,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000008,800000195,
107536,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000008,800000196,
107602,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000008,800000197,
107516,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000008,800000198,
107712,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000008,800000199,
107419,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000008,800000200,
107928,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000008,800000201,
107783,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000008,800000202,
107997,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000008,800000203,
107757,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000008,800000204,
107862,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000008,800000205,
107772,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000008,800000206,
108061,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000008,800000207,
107744,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000008,800000208,
107689,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000008,800000209,
107641,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000008,800000210,
107672,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000008,800000211,
107624,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000008,800000212,
107642,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000008,800000213,
107578,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000008,800000214,
108173,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000009,800000215,
108400,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000009,800000216,
108382,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000009,800000217,
108462,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000009,800000218,
108188,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000009,800000219,
108282,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000009,800000220,
108222,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000009,800000221,
108158,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000009,800000222,
108177,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000009,800000223,
108040,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000009,800000224,
108080,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000009,800000225,
107976,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000009,800000226,
108111,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000009,800000227,
107980,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000009,800000228,
108066,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000009,800000229,
108164,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000009,800000230,
108248,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000009,800000231,
108210,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000009,800000232,
108276,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000009,800000233,
108234,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000009,800000234,
108235,µm,Point,Pt Distance from Origin,4,1,Segment,100000009,800000235,
108290,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000009,800000236,
108214,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000009,800000237,
108378,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000009,800000238,
107279,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000010,800000239,
107483,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000010,800000240,
107417,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000010,800000241,
107487,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000010,800000242,
107228,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000010,800000243,
107251,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000010,800000244,
107137,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000010,800000245,
107206,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000010,800000246,
107155,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000010,800000247,
107220,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000010,800000248,
107260,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000010,800000249,
107292,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000010,800000250,
107292,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000010,800000251,
107313,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000010,800000252,
107371,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000010,800000253,
107332,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000010,800000254,
107503,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000010,800000255,
107278,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000010,800000256,
107435,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000010,800000257,
107309,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000010,800000258,
107303,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000010,800000259,
107273,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000010,800000260,
107175,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000010,800000261,
107332,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000010,800000262,
