
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-25.086,µm,Segment,Segment Position,3,2,1,100000014,510000003507,
-26.4995,µm,Segment,Segment Position,1,1,1,100000014,510000003515,
-25.1905,µm,Segment,Segment Position,3,2,1,100000014,510000003518,
-26.2827,µm,Segment,Segment Position,1,1,1,100000014,510000003527,
-4.4217,µm,Segment,Segment Position,2,2,1,100000014,510000003529,
-23.161,µm,Segment,Segment Position,2,1,1,100000014,510000003552,
-11.5405,µm,Segment,Segment Position,3,1,1,100000014,510000003554,
-12.0081,µm,Segment,Segment Position,3,2,1,100000014,510000003570,
-17.4662,µm,Segment,Segment Position,4,2,1,100000014,510000003582,
-13.8907,µm,Segment,Segment Position,2,2,1,100000014,510000003592,
-3.58346,µm,Segment,Segment Position,4,1,1,100000014,510000003609,
-16.5838,µm,Segment,Segment Position,4,2,1,100000014,510000003635,
-23.4053,µm,Segment,Segment Position,2,2,1,100000014,510000003640,
-18.2673,µm,Segment,Segment Position,3,2,1,100000014,510000003647,
-0.664197,µm,Segment,Segment Position,3,3,1,100000014,510000003656,
21,µm,Segment,Segment Position,0,1,1,100000000,510000003676,
17.4326,µm,Segment,Segment Position,1,1,1,100000000,510000003677,
17.4326,µm,Segment,Segment Position,1,2,1,100000000,510000003678,
16.5938,µm,Segment,Segment Position,2,2,1,100000000,510000003679,
-23,µm,Segment,Segment Position,1,1,1,100000001,510000003680,
-23,µm,Segment,Segment Position,1,1,1,100000001,510000003681,
-20.0658,µm,Segment,Segment Position,2,1,1,100000001,510000003682,
-7.52248,µm,Segment,Segment Position,4,2,1,100000001,510000003683,
-3.35076,µm,Segment,Segment Position,4,1,1,100000002,510000003684,
9,µm,Segment,Segment Position,1,1,1,100000003,510000003685,
11,µm,Segment,Segment Position,1,1,1,100000004,510000003686,
9.5817,µm,Segment,Segment Position,2,1,1,100000004,510000003687,
9.5817,µm,Segment,Segment Position,2,2,1,100000004,510000003688,
8.47592,µm,Segment,Segment Position,3,3,1,100000004,510000003689,
21,µm,Segment,Segment Position,0,1,1,100000005,510000003690,
19.2773,µm,Segment,Segment Position,1,2,1,100000005,510000003691,
17.8617,µm,Segment,Segment Position,2,2,1,100000005,510000003692,
16.495,µm,Segment,Segment Position,3,2,1,100000005,510000003693,
13.404,µm,Segment,Segment Position,6,2,1,100000005,510000003694,
-0.130609,µm,Segment,Segment Position,3,2,1,100000006,510000003695,
-3,µm,Segment,Segment Position,1,1,1,100000006,510000003696,
-3,µm,Segment,Segment Position,1,1,1,100000006,510000003697,
-1.39366,µm,Segment,Segment Position,2,1,1,100000006,510000003698,
7,µm,Segment,Segment Position,1,1,1,100000007,510000003699,
7,µm,Segment,Segment Position,1,1,1,100000007,510000003700,
6.56735,µm,Segment,Segment Position,3,1,1,100000008,510000003701,
11,µm,Segment,Segment Position,1,1,1,100000009,510000003702,
11,µm,Segment,Segment Position,1,1,1,100000009,510000003703,
11,µm,Segment,Segment Position,1,1,1,100000009,510000003704,
13,µm,Segment,Segment Position,1,1,1,100000010,510000003705,
11.7216,µm,Segment,Segment Position,4,2,1,100000010,510000003706,
