
Segment Orientation Angle
 ==================== 
Segment Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
17.5278,°,Segment,4,1,1,100000014,510000003609,
-62.0036,°,Segment,4,2,1,100000014,510000003635,
75.3097,°,Segment,2,2,1,100000014,510000003640,
42.1081,°,Segment,3,2,1,100000014,510000003647,
38.6163,°,Segment,3,3,1,100000014,510000003656,
-5.68126,°,Segment,0,1,1,100000000,510000003676,
-12.0831,°,Segment,1,1,1,100000000,510000003677,
167.215,°,Segment,1,2,1,100000000,510000003678,
167.541,°,Segment,2,2,1,100000000,510000003679,
166.407,°,Segment,1,1,1,100000001,510000003680,
-48.2813,°,Segment,1,1,1,100000001,510000003681,
-55.6114,°,Segment,2,1,1,100000001,510000003682,
-112.969,°,Segment,4,2,1,100000001,510000003683,
-26.8279,°,Segment,4,1,1,100000002,510000003684,
-148.489,°,Segment,1,1,1,100000003,510000003685,
-117.496,°,Segment,1,1,1,100000004,510000003686,
-114.906,°,Segment,2,1,1,100000004,510000003687,
125.579,°,Segment,2,2,1,100000004,510000003688,
130.856,°,Segment,3,3,1,100000004,510000003689,
-45.8736,°,Segment,0,1,1,100000005,510000003690,
160.786,°,Segment,1,2,1,100000005,510000003691,
174.584,°,Segment,2,2,1,100000005,510000003692,
133.639,°,Segment,3,2,1,100000005,510000003693,
57.5907,°,Segment,6,2,1,100000005,510000003694,
-35.4147,°,Segment,3,2,1,100000006,510000003695,
36.6278,°,Segment,1,1,1,100000006,510000003696,
-131.553,°,Segment,1,1,1,100000006,510000003697,
-127.891,°,Segment,2,1,1,100000006,510000003698,
47.7659,°,Segment,1,1,1,100000007,510000003699,
173.074,°,Segment,1,1,1,100000007,510000003700,
-147.755,°,Segment,3,1,1,100000008,510000003701,
-35.2092,°,Segment,1,1,1,100000009,510000003702,
-130.42,°,Segment,1,1,1,100000009,510000003703,
128.258,°,Segment,1,1,1,100000009,510000003704,
-114.603,°,Segment,1,1,1,100000010,510000003705,
93.349,°,Segment,4,2,1,100000010,510000003706,
-43.6796,°,Segment,1,1,1,100000011,510000003707,
-43.1186,°,Segment,2,1,1,100000011,510000003708,
-87.5307,°,Segment,3,2,1,100000011,510000003709,
6.4654,°,Segment,1,1,1,100000011,510000003710,
74.5145,°,Segment,2,1,1,100000011,510000003711,
126.921,°,Segment,1,1,1,100000011,510000003712,
114.615,°,Segment,2,1,1,100000011,510000003713,
142.182,°,Segment,2,2,1,100000011,510000003714,
-120.699,°,Segment,1,1,1,100000012,510000003715,
87.8414,°,Segment,1,1,1,100000012,510000003716,
22.1247,°,Segment,5,1,1,100000012,510000003717,
-41.3324,°,Segment,1,1,1,100000013,510000003718,
-41.9107,°,Segment,2,1,1,100000013,510000003719,
-41.444,°,Segment,3,1,1,100000013,510000003720,
26.8291,°,Segment,2,2,1,100000013,510000003721,
-131.898,°,Segment,1,1,1,100000013,510000003722,
-84.6176,°,Segment,1,1,1,100000014,510000003723,
-97.6651,°,Segment,2,1,1,100000014,510000003724,
-116.221,°,Segment,3,1,1,100000014,510000003725,
9.33736,°,Segment,2,1,1,100000014,510000003726,
-9.07285,°,Segment,3,1,1,100000014,510000003727,
