
Segment Position Y
 ==================== 
Segment Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
11855.4,µm,Segment,Segment Position,5,4,1,100000008,510000002191,
13274.7,µm,Segment,Segment Position,2,1,1,100000009,510000002212,
13227,µm,Segment,Segment Position,3,1,1,100000009,510000002215,
13176.9,µm,Segment,Segment Position,4,1,1,100000009,510000002235,
13144.1,µm,Segment,Segment Position,4,2,1,100000009,510000002237,
13213.8,µm,Segment,Segment Position,2,2,1,100000009,510000002248,
13179,µm,Segment,Segment Position,2,1,1,100000009,510000002271,
13236.2,µm,Segment,Segment Position,2,2,1,100000009,510000002296,
13284.7,µm,Segment,Segment Position,2,2,1,100000009,510000002305,
13283.4,µm,Segment,Segment Position,3,2,1,100000009,510000002310,
13270.2,µm,Segment,Segment Position,4,2,1,100000009,510000002314,
13310.6,µm,Segment,Segment Position,4,3,1,100000009,510000002320,
13339.9,µm,Segment,Segment Position,3,3,1,100000009,510000002333,
13370,µm,Segment,Segment Position,2,1,1,100000009,510000002352,
13315.5,µm,Segment,Segment Position,2,2,1,100000009,510000002376,
13353.5,µm,Segment,Segment Position,3,3,1,100000009,510000002388,
13348.1,µm,Segment,Segment Position,3,2,1,100000009,510000002396,
13352.7,µm,Segment,Segment Position,4,2,1,100000009,510000002398,
13409.1,µm,Segment,Segment Position,4,3,1,100000009,510000002403,
13296,µm,Segment,Segment Position,3,2,1,100000009,510000002417,
12288,µm,Segment,Segment Position,1,1,1,100000010,510000002436,
12235.7,µm,Segment,Segment Position,2,1,1,100000010,510000002463,
12285.6,µm,Segment,Segment Position,2,2,1,100000010,510000002487,
12273.8,µm,Segment,Segment Position,2,1,1,100000010,510000002501,
12183.4,µm,Segment,Segment Position,3,1,1,100000010,510000002510,
12242.5,µm,Segment,Segment Position,3,2,1,100000010,510000002538,
12197.7,µm,Segment,Segment Position,4,2,1,100000010,510000002548,
12182.1,µm,Segment,Segment Position,4,3,1,100000010,510000002565,
12311.6,µm,Segment,Segment Position,1,1,1,100000010,510000002584,
12333.9,µm,Segment,Segment Position,2,1,1,100000010,510000002588,
12336.1,µm,Segment,Segment Position,2,2,1,100000010,510000002597,
12360.1,µm,Segment,Segment Position,3,2,1,100000010,510000002602,
12376.2,µm,Segment,Segment Position,4,3,1,100000010,510000002608,
12327.1,µm,Segment,Segment Position,1,1,1,100000010,510000002612,
12370.1,µm,Segment,Segment Position,2,1,1,100000010,510000002624,
12378.8,µm,Segment,Segment Position,2,2,1,100000010,510000002635,
12369.5,µm,Segment,Segment Position,3,3,1,100000010,510000002672,
12421.8,µm,Segment,Segment Position,4,3,1,100000010,510000002680,
12436.6,µm,Segment,Segment Position,4,4,1,100000010,510000002707,
12281.1,µm,Segment,Segment Position,2,2,1,100000010,510000002726,
12276.8,µm,Segment,Segment Position,1,1,1,100000010,510000002748,
12762.8,µm,Segment,Segment Position,3,1,1,100000011,510000002766,
12871.6,µm,Segment,Segment Position,3,2,1,100000011,510000002785,
12851.9,µm,Segment,Segment Position,4,2,1,100000011,510000002792,
12897.6,µm,Segment,Segment Position,4,3,1,100000011,510000002809,
12928.2,µm,Segment,Segment Position,2,2,1,100000011,510000002827,
13026.8,µm,Segment,Segment Position,3,1,1,100000011,510000002847,
13028.9,µm,Segment,Segment Position,3,1,1,100000011,510000002860,
12839.4,µm,Segment,Segment Position,2,2,1,100000011,510000002874,
12857.2,µm,Segment,Segment Position,1,1,1,100000011,510000002880,
12787.1,µm,Segment,Segment Position,3,3,1,100000011,510000002898,
13009.5,µm,Segment,Segment Position,3,2,1,100000011,510000002902,
13031.8,µm,Segment,Segment Position,3,2,1,100000011,510000002917,
13017.4,µm,Segment,Segment Position,3,3,1,100000011,510000002938,
12965.2,µm,Segment,Segment Position,3,2,1,100000011,510000002946,
13960.7,µm,Segment,Segment Position,1,1,1,100000012,510000002958,
13900.4,µm,Segment,Segment Position,2,1,1,100000012,510000002963,
13748.3,µm,Segment,Segment Position,3,1,1,100000012,510000002974,
13835.7,µm,Segment,Segment Position,3,2,1,100000012,510000003000,
13884.2,µm,Segment,Segment Position,2,1,1,100000012,510000003014,
13908,µm,Segment,Segment Position,2,2,1,100000012,510000003040,
13985.1,µm,Segment,Segment Position,1,1,1,100000012,510000003065,
13987,µm,Segment,Segment Position,2,1,1,100000012,510000003067,
14080.9,µm,Segment,Segment Position,2,2,1,100000012,510000003086,
14052.3,µm,Segment,Segment Position,2,2,1,100000012,510000003109,
14000.7,µm,Segment,Segment Position,2,1,1,100000012,510000003121,
14004.7,µm,Segment,Segment Position,3,1,1,100000012,510000003124,
14001.5,µm,Segment,Segment Position,4,1,1,100000012,510000003130,
13967.7,µm,Segment,Segment Position,4,2,1,100000012,510000003147,
13883.7,µm,Segment,Segment Position,5,2,1,100000012,510000003157,
13939.7,µm,Segment,Segment Position,5,3,1,100000012,510000003175,
14019.4,µm,Segment,Segment Position,5,2,1,100000012,510000003190,
14044.1,µm,Segment,Segment Position,2,2,1,100000012,510000003198,
13872.9,µm,Segment,Segment Position,2,2,1,100000012,510000003232,
14066.1,µm,Segment,Segment Position,3,2,1,100000012,510000003243,
14046.9,µm,Segment,Segment Position,4,1,1,100000013,510000003271,
14092.1,µm,Segment,Segment Position,3,2,1,100000013,510000003294,
14061,µm,Segment,Segment Position,4,2,1,100000013,510000003296,
14015.5,µm,Segment,Segment Position,4,2,1,100000013,510000003319,
14066.7,µm,Segment,Segment Position,3,2,1,100000013,510000003334,
13966.4,µm,Segment,Segment Position,4,2,1,100000013,510000003336,
13972.9,µm,Segment,Segment Position,4,3,1,100000013,510000003352,
14081.1,µm,Segment,Segment Position,2,1,1,100000013,510000003369,
14063.7,µm,Segment,Segment Position,3,1,1,100000013,510000003372,
14031.7,µm,Segment,Segment Position,2,2,1,100000013,510000003375,
14127.3,µm,Segment,Segment Position,2,2,1,100000013,510000003389,
14110.7,µm,Segment,Segment Position,1,1,1,100000013,510000003402,
14187.6,µm,Segment,Segment Position,2,1,1,100000013,510000003405,
14207.9,µm,Segment,Segment Position,2,2,1,100000013,510000003429,
14131.8,µm,Segment,Segment Position,3,3,1,100000013,510000003442,
14127.4,µm,Segment,Segment Position,4,3,1,100000013,510000003451,
14063.8,µm,Segment,Segment Position,3,2,1,100000013,510000003473,
13052.4,µm,Segment,Segment Position,1,1,1,100000014,510000003491,
12998.7,µm,Segment,Segment Position,4,1,1,100000014,510000003501,
13022.7,µm,Segment,Segment Position,3,2,1,100000014,510000003507,
13063.5,µm,Segment,Segment Position,1,1,1,100000014,510000003515,
13089.4,µm,Segment,Segment Position,3,2,1,100000014,510000003518,
13068.1,µm,Segment,Segment Position,1,1,1,100000014,510000003527,
13117.8,µm,Segment,Segment Position,2,2,1,100000014,510000003529,
13096.2,µm,Segment,Segment Position,2,1,1,100000014,510000003552,
13171.4,µm,Segment,Segment Position,3,1,1,100000014,510000003554,
13167.4,µm,Segment,Segment Position,3,2,1,100000014,510000003570,
12995.9,µm,Segment,Segment Position,4,2,1,100000014,510000003582,
13020.1,µm,Segment,Segment Position,2,2,1,100000014,510000003592,
13085.7,µm,Segment,Segment Position,4,1,1,100000014,510000003609,
13048.2,µm,Segment,Segment Position,4,2,1,100000014,510000003635,
13097.6,µm,Segment,Segment Position,2,2,1,100000014,510000003640,
13161.8,µm,Segment,Segment Position,3,2,1,100000014,510000003647,
13148.6,µm,Segment,Segment Position,3,3,1,100000014,510000003656,
13280.4,µm,Segment,Segment Position,0,1,1,100000000,510000003676,
13279.2,µm,Segment,Segment Position,1,1,1,100000000,510000003677,
13279.2,µm,Segment,Segment Position,1,2,1,100000000,510000003678,
13284.5,µm,Segment,Segment Position,2,2,1,100000000,510000003679,
12983.1,µm,Segment,Segment Position,1,1,1,100000001,510000003680,
12983.1,µm,Segment,Segment Position,1,1,1,100000001,510000003681,
12968.8,µm,Segment,Segment Position,2,1,1,100000001,510000003682,
12866.7,µm,Segment,Segment Position,4,2,1,100000001,510000003683,
12792.5,µm,Segment,Segment Position,4,1,1,100000002,510000003684,
12545.8,µm,Segment,Segment Position,1,1,1,100000003,510000003685,
14179.1,µm,Segment,Segment Position,1,1,1,100000004,510000003686,
14163.6,µm,Segment,Segment Position,2,1,1,100000004,510000003687,
14163.6,µm,Segment,Segment Position,2,2,1,100000004,510000003688,
14182.1,µm,Segment,Segment Position,3,3,1,100000004,510000003689,
13714.8,µm,Segment,Segment Position,0,1,1,100000005,510000003690,
13703.1,µm,Segment,Segment Position,1,2,1,100000005,510000003691,
13709.1,µm,Segment,Segment Position,2,2,1,100000005,510000003692,
13710.1,µm,Segment,Segment Position,3,2,1,100000005,510000003693,
13767.7,µm,Segment,Segment Position,6,2,1,100000005,510000003694,
12710.8,µm,Segment,Segment Position,3,2,1,100000006,510000003695,
12770.5,µm,Segment,Segment Position,1,1,1,100000006,510000003696,
12770.5,µm,Segment,Segment Position,1,1,1,100000006,510000003697,
12755.3,µm,Segment,Segment Position,2,1,1,100000006,510000003698,
12080.8,µm,Segment,Segment Position,1,1,1,100000007,510000003699,
12080.8,µm,Segment,Segment Position,1,1,1,100000007,510000003700,
11800.6,µm,Segment,Segment Position,3,1,1,100000008,510000003701,
13291,µm,Segment,Segment Position,1,1,1,100000009,510000003702,
13291,µm,Segment,Segment Position,1,1,1,100000009,510000003703,
13291,µm,Segment,Segment Position,1,1,1,100000009,510000003704,
12302.9,µm,Segment,Segment Position,1,1,1,100000010,510000003705,
12375.8,µm,Segment,Segment Position,4,2,1,100000010,510000003706,
12898,µm,Segment,Segment Position,1,1,1,100000011,510000003707,
12873.3,µm,Segment,Segment Position,2,1,1,100000011,510000003708,
12788.4,µm,Segment,Segment Position,3,2,1,100000011,510000003709,
12898,µm,Segment,Segment Position,1,1,1,100000011,510000003710,
12901.5,µm,Segment,Segment Position,2,1,1,100000011,510000003711,
12898,µm,Segment,Segment Position,1,1,1,100000011,510000003712,
12930.9,µm,Segment,Segment Position,2,1,1,100000011,510000003713,
12930.9,µm,Segment,Segment Position,2,2,1,100000011,510000003714,
13984.2,µm,Segment,Segment Position,1,1,1,100000012,510000003715,
13984.2,µm,Segment,Segment Position,1,1,1,100000012,510000003716,
14012.7,µm,Segment,Segment Position,5,1,1,100000012,510000003717,
14098.2,µm,Segment,Segment Position,1,1,1,100000013,510000003718,
14082.8,µm,Segment,Segment Position,2,1,1,100000013,510000003719,
14073.7,µm,Segment,Segment Position,3,1,1,100000013,510000003720,
14082.8,µm,Segment,Segment Position,2,2,1,100000013,510000003721,
14098.2,µm,Segment,Segment Position,1,1,1,100000013,510000003722,
13063.2,µm,Segment,Segment Position,1,1,1,100000014,510000003723,
13041.3,µm,Segment,Segment Position,2,1,1,100000014,510000003724,
13027.3,µm,Segment,Segment Position,3,1,1,100000014,510000003725,
13064.9,µm,Segment,Segment Position,2,1,1,100000014,510000003726,
13066.7,µm,Segment,Segment Position,3,1,1,100000014,510000003727,
