
Segment Center Intensity Max Ch=1 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
255,,Segment,1,1,Image 1,1,1,100000004,510000003686,
255,,Segment,1,2,Image 1,1,1,100000004,510000003687,
255,,Segment,1,2,Image 1,2,1,100000004,510000003688,
255,,Segment,1,3,Image 1,3,1,100000004,510000003689,
255,,Segment,1,0,Image 1,1,1,100000005,510000003690,
255,,Segment,1,1,Image 1,2,1,100000005,510000003691,
255,,Segment,1,2,Image 1,2,1,100000005,510000003692,
255,,Segment,1,3,Image 1,2,1,100000005,510000003693,
167,,Segment,1,6,Image 1,2,1,100000005,510000003694,
218,,Segment,1,3,Image 1,2,1,100000006,510000003695,
255,,Segment,1,1,Image 1,1,1,100000006,510000003696,
253,,Segment,1,1,Image 1,1,1,100000006,510000003697,
253,,Segment,1,2,Image 1,1,1,100000006,510000003698,
234,,Segment,1,1,Image 1,1,1,100000007,510000003699,
234,,Segment,1,1,Image 1,1,1,100000007,510000003700,
255,,Segment,1,3,Image 1,1,1,100000008,510000003701,
255,,Segment,1,1,Image 1,1,1,100000009,510000003702,
255,,Segment,1,1,Image 1,1,1,100000009,510000003703,
255,,Segment,1,1,Image 1,1,1,100000009,510000003704,
251,,Segment,1,1,Image 1,1,1,100000010,510000003705,
184,,Segment,1,4,Image 1,2,1,100000010,510000003706,
248,,Segment,1,1,Image 1,1,1,100000011,510000003707,
194,,Segment,1,2,Image 1,1,1,100000011,510000003708,
255,,Segment,1,3,Image 1,2,1,100000011,510000003709,
248,,Segment,1,1,Image 1,1,1,100000011,510000003710,
163,,Segment,1,2,Image 1,1,1,100000011,510000003711,
248,,Segment,1,1,Image 1,1,1,100000011,510000003712,
151,,Segment,1,2,Image 1,1,1,100000011,510000003713,
84,,Segment,1,2,Image 1,2,1,100000011,510000003714,
251,,Segment,1,1,Image 1,1,1,100000012,510000003715,
251,,Segment,1,1,Image 1,1,1,100000012,510000003716,
199,,Segment,1,5,Image 1,1,1,100000012,510000003717,
152,,Segment,1,1,Image 1,1,1,100000013,510000003718,
152,,Segment,1,2,Image 1,1,1,100000013,510000003719,
87,,Segment,1,3,Image 1,1,1,100000013,510000003720,
178,,Segment,1,2,Image 1,2,1,100000013,510000003721,
190,,Segment,1,1,Image 1,1,1,100000013,510000003722,
217,,Segment,1,1,Image 1,1,1,100000014,510000003723,
198,,Segment,1,2,Image 1,1,1,100000014,510000003724,
140,,Segment,1,3,Image 1,1,1,100000014,510000003725,
192,,Segment,1,2,Image 1,1,1,100000014,510000003726,
130,,Segment,1,3,Image 1,1,1,100000014,510000003727,
