
Segment Center Intensity Mean Ch=1 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
207.8,,Segment,1,2,Image 1,1,1,100000010,510000002501,
108.448,,Segment,1,3,Image 1,1,1,100000010,510000002510,
167.364,,Segment,1,3,Image 1,2,1,100000010,510000002538,
162.667,,Segment,1,4,Image 1,2,1,100000010,510000002548,
200.15,,Segment,1,4,Image 1,3,1,100000010,510000002565,
188.4,,Segment,1,1,Image 1,1,1,100000010,510000002584,
134.4,,Segment,1,2,Image 1,1,1,100000010,510000002588,
188,,Segment,1,2,Image 1,2,1,100000010,510000002597,
219,,Segment,1,3,Image 1,2,1,100000010,510000002602,
93.2,,Segment,1,4,Image 1,3,1,100000010,510000002608,
149,,Segment,1,1,Image 1,1,1,100000010,510000002612,
103.583,,Segment,1,2,Image 1,1,1,100000010,510000002624,
184.368,,Segment,1,2,Image 1,2,1,100000010,510000002635,
213,,Segment,1,3,Image 1,3,1,100000010,510000002672,
158.643,,Segment,1,4,Image 1,3,1,100000010,510000002680,
206.2,,Segment,1,4,Image 1,4,1,100000010,510000002707,
170.13,,Segment,1,2,Image 1,2,1,100000010,510000002726,
214.688,,Segment,1,1,Image 1,1,1,100000010,510000002748,
128.05,,Segment,1,3,Image 1,1,1,100000011,510000002766,
151,,Segment,1,3,Image 1,2,1,100000011,510000002785,
94.6111,,Segment,1,4,Image 1,2,1,100000011,510000002792,
97.5,,Segment,1,4,Image 1,3,1,100000011,510000002809,
124.8,,Segment,1,2,Image 1,2,1,100000011,510000002827,
97.1667,,Segment,1,3,Image 1,1,1,100000011,510000002847,
99.7333,,Segment,1,3,Image 1,1,1,100000011,510000002860,
205,,Segment,1,2,Image 1,2,1,100000011,510000002874,
122.895,,Segment,1,1,Image 1,1,1,100000011,510000002880,
128,,Segment,1,3,Image 1,3,1,100000011,510000002898,
128.562,,Segment,1,3,Image 1,2,1,100000011,510000002902,
109.5,,Segment,1,3,Image 1,2,1,100000011,510000002917,
90.4444,,Segment,1,3,Image 1,3,1,100000011,510000002938,
114.667,,Segment,1,3,Image 1,2,1,100000011,510000002946,
179.5,,Segment,1,1,Image 1,1,1,100000012,510000002958,
146,,Segment,1,2,Image 1,1,1,100000012,510000002963,
104.593,,Segment,1,3,Image 1,1,1,100000012,510000002974,
132.929,,Segment,1,3,Image 1,2,1,100000012,510000003000,
132.333,,Segment,1,2,Image 1,1,1,100000012,510000003014,
136.423,,Segment,1,2,Image 1,2,1,100000012,510000003040,
225.333,,Segment,1,1,Image 1,1,1,100000012,510000003065,
99.3,,Segment,1,2,Image 1,1,1,100000012,510000003067,
125.348,,Segment,1,2,Image 1,2,1,100000012,510000003086,
159.308,,Segment,1,2,Image 1,2,1,100000012,510000003109,
204,,Segment,1,2,Image 1,1,1,100000012,510000003121,
179.143,,Segment,1,3,Image 1,1,1,100000012,510000003124,
147.529,,Segment,1,4,Image 1,1,1,100000012,510000003130,
