
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
112789,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000009,800000167,
112704,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000009,800000168,
112780,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000009,800000169,
112759,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000009,800000170,
112755,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000009,800000171,
112806,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000009,800000172,
111887,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000010,800000173,
111845,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000010,800000174,
111878,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000010,800000175,
111864,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000010,800000176,
111833,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000010,800000177,
111877,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000010,800000178,
111806,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000010,800000179,
111960,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000010,800000180,
111896,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000010,800000181,
111899,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000010,800000182,
111933,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000010,800000183,
111931,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000010,800000184,
111966,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000010,800000185,
111896,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000010,800000186,
111947,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000010,800000187,
111907,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000010,800000188,
111916,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000010,800000189,
112234,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000011,800000190,
112317,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000011,800000191,
112250,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000011,800000192,
112451,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000011,800000193,
112278,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000011,800000194,
112278,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000011,800000195,
112215,µm,Point,Pt Distance from Origin,3,1,Segment,100000011,800000196,
112218,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000011,800000197,
112245,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000011,800000198,
112226,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000011,800000199,
112202,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000011,800000200,
112248,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000011,800000201,
112151,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000011,800000202,
