
Segment Center Intensity Median Ch=1 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
202.125,,Segment,1,2,Image 1,3,1,100000011,510000002606,
158.625,,Segment,1,1,Image 1,1,1,100000011,510000002630,
115.625,,Segment,1,1,Image 1,2,1,100000011,510000002643,
250.016,,Segment,1,3,Image 1,2,1,100000011,510000002661,
85.125,,Segment,1,3,Image 1,3,1,100000011,510000002664,
119.625,,Segment,1,3,Image 1,2,1,100000011,510000002675,
175.562,,Segment,1,2,Image 1,1,1,100000012,510000002702,
187.125,,Segment,1,3,Image 1,1,1,100000012,510000002709,
95.0156,,Segment,1,4,Image 1,1,1,100000012,510000002731,
98.0156,,Segment,1,4,Image 1,2,1,100000012,510000002740,
188.125,,Segment,1,2,Image 1,2,1,100000012,510000002746,
216.125,,Segment,1,3,Image 1,2,1,100000012,510000002752,
222.125,,Segment,1,4,Image 1,2,1,100000012,510000002760,
231.062,,Segment,1,5,Image 1,2,1,100000012,510000002776,
89.125,,Segment,1,5,Image 1,3,1,100000012,510000002784,
184.125,,Segment,1,4,Image 1,3,1,100000012,510000002791,
146.125,,Segment,1,1,Image 1,1,1,100000012,510000002813,
140.125,,Segment,1,2,Image 1,1,1,100000012,510000002820,
236.031,,Segment,1,2,Image 1,2,1,100000012,510000002832,
208.125,,Segment,1,3,Image 1,2,1,100000012,510000002836,
71.125,,Segment,1,2,Image 1,1,1,100000012,510000002867,
137.125,,Segment,1,3,Image 1,1,1,100000012,510000002869,
124.125,,Segment,1,3,Image 1,2,1,100000012,510000002897,
192.125,,Segment,1,2,Image 1,2,1,100000012,510000002921,
190.062,,Segment,1,3,Image 1,2,1,100000012,510000002930,
100.625,,Segment,1,3,Image 1,3,1,100000012,510000002947,
143.125,,Segment,1,2,Image 1,2,1,100000012,510000002966,
233.016,,Segment,1,3,Image 1,3,1,100000012,510000002982,
141.125,,Segment,1,4,Image 1,3,1,100000012,510000002984,
175.625,,Segment,1,4,Image 1,4,1,100000012,510000002999,
118.125,,Segment,1,3,Image 1,2,1,100000012,510000003014,
214.125,,Segment,1,3,Image 1,3,1,100000012,510000003020,
218.625,,Segment,1,3,Image 1,1,1,100000013,510000003039,
225.062,,Segment,1,3,Image 1,2,1,100000013,510000003056,
94.0625,,Segment,1,4,Image 1,2,1,100000013,510000003061,
84.0625,,Segment,1,4,Image 1,3,1,100000013,510000003074,
255,,Segment,1,3,Image 1,2,1,100000013,510000003081,
143.625,,Segment,1,4,Image 1,2,1,100000013,510000003083,
198.625,,Segment,1,4,Image 1,3,1,100000013,510000003090,
128.562,,Segment,1,5,Image 1,3,1,100000013,510000003093,
181.125,,Segment,1,5,Image 1,4,1,100000013,510000003106,
127.625,,Segment,1,4,Image 1,3,1,100000013,510000003111,
89.625,,Segment,1,4,Image 1,4,1,100000013,510000003122,
131.125,,Segment,1,1,Image 1,1,1,100000013,510000003143,
123.625,,Segment,1,1,Image 1,1,1,100000013,510000003156,
129.125,,Segment,1,2,Image 1,1,1,100000013,510000003160,
145.062,,Segment,1,2,Image 1,2,1,100000013,510000003185,
232.031,,Segment,1,3,Image 1,2,1,100000013,510000003188,
158.625,,Segment,1,4,Image 1,2,1,100000013,510000003191,
169.625,,Segment,1,4,Image 1,3,1,100000013,510000003206,
188.125,,Segment,1,1,Image 1,1,1,100000013,510000003211,
215.125,,Segment,1,4,Image 1,1,1,100000013,510000003215,
170.125,,Segment,1,4,Image 1,2,1,100000013,510000003235,
172.062,,Segment,1,3,Image 1,2,1,100000013,510000003244,
183.062,,Segment,1,2,Image 1,2,1,100000013,510000003251,
114.062,,Segment,1,3,Image 1,2,1,100000013,510000003253,
108.125,,Segment,1,3,Image 1,3,1,100000013,510000003269,
120.625,,Segment,1,3,Image 1,3,1,100000013,510000003292,
252.004,,Segment,1,2,Image 1,1,1,100000000,510000003309,
255,,Segment,1,1,Image 1,1,1,100000000,510000003310,
247.508,,Segment,1,2,Image 1,1,1,100000000,510000003311,
255,,Segment,1,1,Image 1,1,1,100000001,510000003312,
237.531,,Segment,1,2,Image 1,1,1,100000001,510000003313,
248.008,,Segment,1,1,Image 1,1,1,100000002,510000003314,
255,,Segment,1,1,Image 1,1,1,100000002,510000003315,
111.516,,Segment,1,2,Image 1,1,1,100000002,510000003316,
255,,Segment,1,0,Image 1,1,1,100000003,510000003317,
248.008,,Segment,1,1,Image 1,1,1,100000003,510000003318,
255,,Segment,1,1,Image 1,2,1,100000003,510000003319,
255,,Segment,1,2,Image 1,2,1,100000003,510000003320,
255,,Segment,1,6,Image 1,4,1,100000003,510000003321,
190.625,,Segment,1,7,Image 1,4,1,100000003,510000003322,
166.125,,Segment,1,7,Image 1,5,1,100000003,510000003323,
170.125,,Segment,1,4,Image 1,5,1,100000003,510000003324,
255,,Segment,1,0,Image 1,1,1,100000004,510000003325,
252.504,,Segment,1,1,Image 1,2,1,100000004,510000003326,
170,,Segment,1,0,Image 1,1,1,100000004,510000003327,
255,,Segment,1,1,Image 1,1,1,100000005,510000003328,
219,,Segment,1,1,Image 1,1,1,100000006,510000003329,
235.031,,Segment,1,2,Image 1,2,1,100000006,510000003330,
249,,Segment,1,1,Image 1,1,1,100000006,510000003331,
187.625,,Segment,1,1,Image 1,1,1,100000007,510000003332,
238.531,,Segment,1,1,Image 1,1,1,100000007,510000003333,
255,,Segment,1,0,Image 1,1,1,100000008,510000003334,
251.504,,Segment,1,1,Image 1,1,1,100000008,510000003335,
190,,Segment,1,0,Image 1,1,1,100000009,510000003336,
208.531,,Segment,1,2,Image 1,1,1,100000009,510000003337,
174.016,,Segment,1,0,Image 1,1,1,100000010,510000003338,
176.016,,Segment,1,0,Image 1,1,1,100000010,510000003339,
255,,Segment,1,0,Image 1,1,1,100000011,510000003340,
255,,Segment,1,1,Image 1,1,1,100000011,510000003341,
255,,Segment,1,1,Image 1,2,1,100000011,510000003342,
232.531,,Segment,1,2,Image 1,2,1,100000011,510000003343,
223.016,,Segment,1,3,Image 1,2,1,100000011,510000003344,
255,,Segment,1,1,Image 1,2,1,100000011,510000003345,
243.016,,Segment,1,2,Image 1,2,1,100000011,510000003346,
227,,Segment,1,0,Image 1,1,1,100000011,510000003347,
230.031,,Segment,1,1,Image 1,1,1,100000012,510000003348,
255,,Segment,1,1,Image 1,1,1,100000012,510000003349,
255,,Segment,1,1,Image 1,1,1,100000013,510000003350,
239.031,,Segment,1,2,Image 1,1,1,100000013,510000003351,
255,,Segment,1,2,Image 1,2,1,100000013,510000003352,
176.125,,Segment,1,3,Image 1,3,1,100000013,510000003353,
125.508,,Segment,1,2,Image 1,1,1,100000013,510000003354,
129.002,,Segment,1,3,Image 1,1,1,100000013,510000003355,
