
Segment Center Number of Voxel Ch=3 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
18,,Segment,3,3,Image 1,2,1,100000012,510000002930,
20,,Segment,3,3,Image 1,3,1,100000012,510000002947,
17,,Segment,3,2,Image 1,2,1,100000012,510000002966,
3,,Segment,3,3,Image 1,3,1,100000012,510000002982,
16,,Segment,3,4,Image 1,3,1,100000012,510000002984,
16,,Segment,3,4,Image 1,4,1,100000012,510000002999,
7,,Segment,3,3,Image 1,2,1,100000012,510000003014,
17,,Segment,3,3,Image 1,3,1,100000012,510000003020,
18,,Segment,3,3,Image 1,1,1,100000013,510000003039,
6,,Segment,3,3,Image 1,2,1,100000013,510000003056,
14,,Segment,3,4,Image 1,2,1,100000013,510000003061,
7,,Segment,3,4,Image 1,3,1,100000013,510000003074,
3,,Segment,3,3,Image 1,2,1,100000013,510000003081,
8,,Segment,3,4,Image 1,2,1,100000013,510000003083,
4,,Segment,3,4,Image 1,3,1,100000013,510000003090,
14,,Segment,3,5,Image 1,3,1,100000013,510000003093,
5,,Segment,3,5,Image 1,4,1,100000013,510000003106,
12,,Segment,3,4,Image 1,3,1,100000013,510000003111,
22,,Segment,3,4,Image 1,4,1,100000013,510000003122,
13,,Segment,3,1,Image 1,1,1,100000013,510000003143,
4,,Segment,3,1,Image 1,1,1,100000013,510000003156,
26,,Segment,3,2,Image 1,1,1,100000013,510000003160,
4,,Segment,3,2,Image 1,2,1,100000013,510000003185,
4,,Segment,3,3,Image 1,2,1,100000013,510000003188,
16,,Segment,3,4,Image 1,2,1,100000013,510000003191,
6,,Segment,3,4,Image 1,3,1,100000013,510000003206,
2,,Segment,3,1,Image 1,1,1,100000013,510000003211,
21,,Segment,3,4,Image 1,1,1,100000013,510000003215,
10,,Segment,3,4,Image 1,2,1,100000013,510000003235,
8,,Segment,3,3,Image 1,2,1,100000013,510000003244,
3,,Segment,3,2,Image 1,2,1,100000013,510000003251,
17,,Segment,3,3,Image 1,2,1,100000013,510000003253,
24,,Segment,3,3,Image 1,3,1,100000013,510000003269,
18,,Segment,3,3,Image 1,3,1,100000013,510000003292,
2,,Segment,3,2,Image 1,1,1,100000000,510000003309,
2,,Segment,3,1,Image 1,1,1,100000000,510000003310,
2,,Segment,3,2,Image 1,1,1,100000000,510000003311,
2,,Segment,3,1,Image 1,1,1,100000001,510000003312,
2,,Segment,3,2,Image 1,1,1,100000001,510000003313,
2,,Segment,3,1,Image 1,1,1,100000002,510000003314,
2,,Segment,3,1,Image 1,1,1,100000002,510000003315,
2,,Segment,3,2,Image 1,1,1,100000002,510000003316,
1,,Segment,3,0,Image 1,1,1,100000003,510000003317,
2,,Segment,3,1,Image 1,1,1,100000003,510000003318,
2,,Segment,3,1,Image 1,2,1,100000003,510000003319,
2,,Segment,3,2,Image 1,2,1,100000003,510000003320,
2,,Segment,3,6,Image 1,4,1,100000003,510000003321,
2,,Segment,3,7,Image 1,4,1,100000003,510000003322,
2,,Segment,3,7,Image 1,5,1,100000003,510000003323,
2,,Segment,3,4,Image 1,5,1,100000003,510000003324,
1,,Segment,3,0,Image 1,1,1,100000004,510000003325,
2,,Segment,3,1,Image 1,2,1,100000004,510000003326,
1,,Segment,3,0,Image 1,1,1,100000004,510000003327,
2,,Segment,3,1,Image 1,1,1,100000005,510000003328,
1,,Segment,3,1,Image 1,1,1,100000006,510000003329,
2,,Segment,3,2,Image 1,2,1,100000006,510000003330,
1,,Segment,3,1,Image 1,1,1,100000006,510000003331,
2,,Segment,3,1,Image 1,1,1,100000007,510000003332,
2,,Segment,3,1,Image 1,1,1,100000007,510000003333,
1,,Segment,3,0,Image 1,1,1,100000008,510000003334,
2,,Segment,3,1,Image 1,1,1,100000008,510000003335,
1,,Segment,3,0,Image 1,1,1,100000009,510000003336,
2,,Segment,3,2,Image 1,1,1,100000009,510000003337,
2,,Segment,3,0,Image 1,1,1,100000010,510000003338,
