
Segment Center Intensity Mean Ch=3 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
95.5,,Segment,3,3,Image 1,2,1,100000011,510000002661,
176,,Segment,3,3,Image 1,3,1,100000011,510000002664,
148.692,,Segment,3,3,Image 1,2,1,100000011,510000002675,
156.125,,Segment,3,2,Image 1,1,1,100000012,510000002702,
141.87,,Segment,3,3,Image 1,1,1,100000012,510000002709,
188.2,,Segment,3,4,Image 1,1,1,100000012,510000002731,
185.143,,Segment,3,4,Image 1,2,1,100000012,510000002740,
141.286,,Segment,3,2,Image 1,2,1,100000012,510000002746,
132.778,,Segment,3,3,Image 1,2,1,100000012,510000002752,
139.824,,Segment,3,4,Image 1,2,1,100000012,510000002760,
138.111,,Segment,3,5,Image 1,2,1,100000012,510000002776,
170.625,,Segment,3,5,Image 1,3,1,100000012,510000002784,
143.348,,Segment,3,4,Image 1,3,1,100000012,510000002791,
128.5,,Segment,3,1,Image 1,1,1,100000012,510000002813,
127.308,,Segment,3,2,Image 1,1,1,100000012,510000002820,
109.4,,Segment,3,2,Image 1,2,1,100000012,510000002832,
142,,Segment,3,3,Image 1,2,1,100000012,510000002836,
131.333,,Segment,3,2,Image 1,1,1,100000012,510000002867,
158.138,,Segment,3,3,Image 1,1,1,100000012,510000002869,
168.76,,Segment,3,3,Image 1,2,1,100000012,510000002897,
141.1,,Segment,3,2,Image 1,2,1,100000012,510000002921,
150.222,,Segment,3,3,Image 1,2,1,100000012,510000002930,
175.5,,Segment,3,3,Image 1,3,1,100000012,510000002947,
143.412,,Segment,3,2,Image 1,2,1,100000012,510000002966,
116,,Segment,3,3,Image 1,3,1,100000012,510000002982,
169.75,,Segment,3,4,Image 1,3,1,100000012,510000002984,
157.375,,Segment,3,4,Image 1,4,1,100000012,510000002999,
154.571,,Segment,3,3,Image 1,2,1,100000012,510000003014,
146.235,,Segment,3,3,Image 1,3,1,100000012,510000003020,
118.278,,Segment,3,3,Image 1,1,1,100000013,510000003039,
118.5,,Segment,3,3,Image 1,2,1,100000013,510000003056,
179,,Segment,3,4,Image 1,2,1,100000013,510000003061,
180.143,,Segment,3,4,Image 1,3,1,100000013,510000003074,
53,,Segment,3,3,Image 1,2,1,100000013,510000003081,
156.125,,Segment,3,4,Image 1,2,1,100000013,510000003083,
116.75,,Segment,3,4,Image 1,3,1,100000013,510000003090,
170.071,,Segment,3,5,Image 1,3,1,100000013,510000003093,
150,,Segment,3,5,Image 1,4,1,100000013,510000003106,
167.917,,Segment,3,4,Image 1,3,1,100000013,510000003111,
177.955,,Segment,3,4,Image 1,4,1,100000013,510000003122,
161.231,,Segment,3,1,Image 1,1,1,100000013,510000003143,
141,,Segment,3,1,Image 1,1,1,100000013,510000003156,
163.308,,Segment,3,2,Image 1,1,1,100000013,510000003160,
151.25,,Segment,3,2,Image 1,2,1,100000013,510000003185,
131.75,,Segment,3,3,Image 1,2,1,100000013,510000003188,
154.75,,Segment,3,4,Image 1,2,1,100000013,510000003191,
153.167,,Segment,3,4,Image 1,3,1,100000013,510000003206,
95,,Segment,3,1,Image 1,1,1,100000013,510000003211,
143.143,,Segment,3,4,Image 1,1,1,100000013,510000003215,
148.6,,Segment,3,4,Image 1,2,1,100000013,510000003235,
138.875,,Segment,3,3,Image 1,2,1,100000013,510000003244,
110.333,,Segment,3,2,Image 1,2,1,100000013,510000003251,
148.706,,Segment,3,3,Image 1,2,1,100000013,510000003253,
170.417,,Segment,3,3,Image 1,3,1,100000013,510000003269,
160.944,,Segment,3,3,Image 1,3,1,100000013,510000003292,
111,,Segment,3,2,Image 1,1,1,100000000,510000003309,
32.5,,Segment,3,1,Image 1,1,1,100000000,510000003310,
74,,Segment,3,2,Image 1,1,1,100000000,510000003311,
70,,Segment,3,1,Image 1,1,1,100000001,510000003312,
112.5,,Segment,3,2,Image 1,1,1,100000001,510000003313,
77,,Segment,3,1,Image 1,1,1,100000002,510000003314,
34.5,,Segment,3,1,Image 1,1,1,100000002,510000003315,
183,,Segment,3,2,Image 1,1,1,100000002,510000003316,
77,,Segment,3,0,Image 1,1,1,100000003,510000003317,
89.5,,Segment,3,1,Image 1,1,1,100000003,510000003318,
52,,Segment,3,1,Image 1,2,1,100000003,510000003319,
29.5,,Segment,3,2,Image 1,2,1,100000003,510000003320,
41,,Segment,3,6,Image 1,4,1,100000003,510000003321,
107,,Segment,3,7,Image 1,4,1,100000003,510000003322,
112,,Segment,3,7,Image 1,5,1,100000003,510000003323,
153.5,,Segment,3,4,Image 1,5,1,100000003,510000003324,
35,,Segment,3,0,Image 1,1,1,100000004,510000003325,
63.5,,Segment,3,1,Image 1,2,1,100000004,510000003326,
136,,Segment,3,0,Image 1,1,1,100000004,510000003327,
52.5,,Segment,3,1,Image 1,1,1,100000005,510000003328,
106,,Segment,3,1,Image 1,1,1,100000006,510000003329,
99.5,,Segment,3,2,Image 1,2,1,100000006,510000003330,
89,,Segment,3,1,Image 1,1,1,100000006,510000003331,
98.5,,Segment,3,1,Image 1,1,1,100000007,510000003332,
66.5,,Segment,3,1,Image 1,1,1,100000007,510000003333,
49,,Segment,3,0,Image 1,1,1,100000008,510000003334,
62,,Segment,3,1,Image 1,1,1,100000008,510000003335,
111,,Segment,3,0,Image 1,1,1,100000009,510000003336,
105.5,,Segment,3,2,Image 1,1,1,100000009,510000003337,
98,,Segment,3,0,Image 1,1,1,100000010,510000003338,
102,,Segment,3,0,Image 1,1,1,100000010,510000003339,
29,,Segment,3,0,Image 1,1,1,100000011,510000003340,
34.5,,Segment,3,1,Image 1,1,1,100000011,510000003341,
31.5,,Segment,3,1,Image 1,2,1,100000011,510000003342,
56.5,,Segment,3,2,Image 1,2,1,100000011,510000003343,
89,,Segment,3,3,Image 1,2,1,100000011,510000003344,
33,,Segment,3,1,Image 1,2,1,100000011,510000003345,
60,,Segment,3,2,Image 1,2,1,100000011,510000003346,
76,,Segment,3,0,Image 1,1,1,100000011,510000003347,
99,,Segment,3,1,Image 1,1,1,100000012,510000003348,
70.5,,Segment,3,1,Image 1,1,1,100000012,510000003349,
43,,Segment,3,1,Image 1,1,1,100000013,510000003350,
80.5,,Segment,3,2,Image 1,1,1,100000013,510000003351,
50.5,,Segment,3,2,Image 1,2,1,100000013,510000003352,
102,,Segment,3,3,Image 1,3,1,100000013,510000003353,
137,,Segment,3,2,Image 1,1,1,100000013,510000003354,
150,,Segment,3,3,Image 1,1,1,100000013,510000003355,
