
Segment Area
 ==================== 
Segment Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
919.6,µm^2,Segment,2,2,1,100000010,510000002399,
361.281,µm^2,Segment,2,3,1,100000010,510000002407,
253.999,µm^2,Segment,3,3,1,100000010,510000002412,
871.759,µm^2,Segment,4,3,1,100000010,510000002417,
600.195,µm^2,Segment,4,4,1,100000010,510000002428,
1267.5,µm^2,Segment,1,2,1,100000010,510000002431,
297.675,µm^2,Segment,2,2,1,100000010,510000002441,
169.695,µm^2,Segment,3,2,1,100000010,510000002444,
313.474,µm^2,Segment,4,2,1,100000010,510000002447,
619.718,µm^2,Segment,4,3,1,100000010,510000002454,
245.007,µm^2,Segment,5,3,1,100000010,510000002456,
236.113,µm^2,Segment,5,4,1,100000010,510000002459,
591.922,µm^2,Segment,3,3,1,100000010,510000002461,
1827.03,µm^2,Segment,2,3,1,100000010,510000002466,
1267.09,µm^2,Segment,2,2,1,100000010,510000002479,
1132.9,µm^2,Segment,3,4,1,100000010,510000002488,
1137.73,µm^2,Segment,2,1,1,100000011,510000002505,
1197.31,µm^2,Segment,3,1,1,100000011,510000002515,
2090.64,µm^2,Segment,2,2,1,100000011,510000002528,
1273.85,µm^2,Segment,2,3,1,100000011,510000002550,
1039.22,µm^2,Segment,4,2,1,100000011,510000002565,
622.833,µm^2,Segment,4,3,1,100000011,510000002578,
1013.66,µm^2,Segment,3,3,1,100000011,510000002584,
1371.14,µm^2,Segment,2,3,1,100000011,510000002606,
1469.94,µm^2,Segment,1,1,1,100000011,510000002630,
1544.35,µm^2,Segment,1,2,1,100000011,510000002643,
306.885,µm^2,Segment,3,2,1,100000011,510000002661,
1021.34,µm^2,Segment,3,3,1,100000011,510000002664,
2393.05,µm^2,Segment,3,2,1,100000011,510000002675,
1095.86,µm^2,Segment,2,1,1,100000012,510000002702,
2531.57,µm^2,Segment,3,1,1,100000012,510000002709,
647.898,µm^2,Segment,4,1,1,100000012,510000002731,
772.856,µm^2,Segment,4,2,1,100000012,510000002740,
811.615,µm^2,Segment,2,2,1,100000012,510000002746,
1046.77,µm^2,Segment,3,2,1,100000012,510000002752,
