
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
10.4483,µm,Segment,Segment Position,4,3,1,100000010,510000002417,
4.37573,µm,Segment,Segment Position,4,4,1,100000010,510000002428,
-14.3935,µm,Segment,Segment Position,1,2,1,100000010,510000002431,
-2.16369,µm,Segment,Segment Position,2,2,1,100000010,510000002441,
2.86536,µm,Segment,Segment Position,3,2,1,100000010,510000002444,
12.2497,µm,Segment,Segment Position,4,2,1,100000010,510000002447,
7.50686,µm,Segment,Segment Position,4,3,1,100000010,510000002454,
6.93117,µm,Segment,Segment Position,5,3,1,100000010,510000002456,
6.70595,µm,Segment,Segment Position,5,4,1,100000010,510000002459,
3.44452,µm,Segment,Segment Position,3,3,1,100000010,510000002461,
-1.44629,µm,Segment,Segment Position,2,3,1,100000010,510000002466,
15.1227,µm,Segment,Segment Position,2,2,1,100000010,510000002479,
6.65041,µm,Segment,Segment Position,3,4,1,100000010,510000002488,
14.538,µm,Segment,Segment Position,2,1,1,100000011,510000002505,
16.0598,µm,Segment,Segment Position,3,1,1,100000011,510000002515,
18.0425,µm,Segment,Segment Position,2,2,1,100000011,510000002528,
19.0926,µm,Segment,Segment Position,2,3,1,100000011,510000002550,
14.7523,µm,Segment,Segment Position,4,2,1,100000011,510000002565,
18.2223,µm,Segment,Segment Position,4,3,1,100000011,510000002578,
-3.80193,µm,Segment,Segment Position,3,3,1,100000011,510000002584,
4.9419,µm,Segment,Segment Position,2,3,1,100000011,510000002606,
18.8599,µm,Segment,Segment Position,1,1,1,100000011,510000002630,
10.1626,µm,Segment,Segment Position,1,2,1,100000011,510000002643,
19.2272,µm,Segment,Segment Position,3,2,1,100000011,510000002661,
15.9049,µm,Segment,Segment Position,3,3,1,100000011,510000002664,
13.5779,µm,Segment,Segment Position,3,2,1,100000011,510000002675,
18.6456,µm,Segment,Segment Position,2,1,1,100000012,510000002702,
4.5464,µm,Segment,Segment Position,3,1,1,100000012,510000002709,
-16.8704,µm,Segment,Segment Position,4,1,1,100000012,510000002731,
-11.7528,µm,Segment,Segment Position,4,2,1,100000012,510000002740,
15.5868,µm,Segment,Segment Position,2,2,1,100000012,510000002746,
17.1135,µm,Segment,Segment Position,3,2,1,100000012,510000002752,
17.9003,µm,Segment,Segment Position,4,2,1,100000012,510000002760,
7.56166,µm,Segment,Segment Position,5,2,1,100000012,510000002776,
7.61158,µm,Segment,Segment Position,5,3,1,100000012,510000002784,
15.2393,µm,Segment,Segment Position,4,3,1,100000012,510000002791,
18.9713,µm,Segment,Segment Position,1,1,1,100000012,510000002813,
15.2383,µm,Segment,Segment Position,2,1,1,100000012,510000002820,
16.3677,µm,Segment,Segment Position,2,2,1,100000012,510000002832,
14.6469,µm,Segment,Segment Position,3,2,1,100000012,510000002836,
15.6085,µm,Segment,Segment Position,2,1,1,100000012,510000002867,
7.76532,µm,Segment,Segment Position,3,1,1,100000012,510000002869,
10.5111,µm,Segment,Segment Position,3,2,1,100000012,510000002897,
12.5681,µm,Segment,Segment Position,2,2,1,100000012,510000002921,
15.8148,µm,Segment,Segment Position,3,2,1,100000012,510000002930,
2.122,µm,Segment,Segment Position,3,3,1,100000012,510000002947,
18.0805,µm,Segment,Segment Position,2,2,1,100000012,510000002966,
14.042,µm,Segment,Segment Position,3,3,1,100000012,510000002982,
16.9557,µm,Segment,Segment Position,4,3,1,100000012,510000002984,
9.90434,µm,Segment,Segment Position,4,4,1,100000012,510000002999,
18.2815,µm,Segment,Segment Position,3,2,1,100000012,510000003014,
15.8004,µm,Segment,Segment Position,3,3,1,100000012,510000003020,
17.7668,µm,Segment,Segment Position,3,1,1,100000013,510000003039,
14.9241,µm,Segment,Segment Position,3,2,1,100000013,510000003056,
0.474334,µm,Segment,Segment Position,4,2,1,100000013,510000003061,
12.3822,µm,Segment,Segment Position,4,3,1,100000013,510000003074,
15.2883,µm,Segment,Segment Position,3,2,1,100000013,510000003081,
11.1335,µm,Segment,Segment Position,4,2,1,100000013,510000003083,
10.6954,µm,Segment,Segment Position,4,3,1,100000013,510000003090,
-4.87462,µm,Segment,Segment Position,5,3,1,100000013,510000003093,
5.49839,µm,Segment,Segment Position,5,4,1,100000013,510000003106,
17.1857,µm,Segment,Segment Position,4,3,1,100000013,510000003111,
-0.384929,µm,Segment,Segment Position,4,4,1,100000013,510000003122,
12.1084,µm,Segment,Segment Position,1,1,1,100000013,510000003143,
19.5246,µm,Segment,Segment Position,1,1,1,100000013,510000003156,
16.3932,µm,Segment,Segment Position,2,1,1,100000013,510000003160,
18.8011,µm,Segment,Segment Position,2,2,1,100000013,510000003185,
18.5214,µm,Segment,Segment Position,3,2,1,100000013,510000003188,
7.35251,µm,Segment,Segment Position,4,2,1,100000013,510000003191,
18.9876,µm,Segment,Segment Position,4,3,1,100000013,510000003206,
20.4904,µm,Segment,Segment Position,1,1,1,100000013,510000003211,
11.7978,µm,Segment,Segment Position,4,1,1,100000013,510000003215,
18.8873,µm,Segment,Segment Position,4,2,1,100000013,510000003235,
19.0407,µm,Segment,Segment Position,3,2,1,100000013,510000003244,
17.5871,µm,Segment,Segment Position,2,2,1,100000013,510000003251,
-0.627304,µm,Segment,Segment Position,3,2,1,100000013,510000003253,
8.30661,µm,Segment,Segment Position,3,3,1,100000013,510000003269,
