
Segment Center Intensity Sum Ch=1 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1480,,Segment,1,4,Image 1,2,1,100000010,510000002447,
493,,Segment,1,4,Image 1,3,1,100000010,510000002454,
747,,Segment,1,5,Image 1,3,1,100000010,510000002456,
671,,Segment,1,5,Image 1,4,1,100000010,510000002459,
1026,,Segment,1,3,Image 1,3,1,100000010,510000002461,
2071,,Segment,1,2,Image 1,3,1,100000010,510000002466,
1228,,Segment,1,2,Image 1,2,1,100000010,510000002479,
2018,,Segment,1,3,Image 1,4,1,100000010,510000002488,
2559,,Segment,1,2,Image 1,1,1,100000011,510000002505,
2009,,Segment,1,3,Image 1,1,1,100000011,510000002515,
4227,,Segment,1,2,Image 1,2,1,100000011,510000002528,
3138,,Segment,1,2,Image 1,3,1,100000011,510000002550,
2312,,Segment,1,4,Image 1,2,1,100000011,510000002565,
1088,,Segment,1,4,Image 1,3,1,100000011,510000002578,
4218,,Segment,1,3,Image 1,3,1,100000011,510000002584,
4618,,Segment,1,2,Image 1,3,1,100000011,510000002606,
2363,,Segment,1,1,Image 1,1,1,100000011,510000002630,
1972,,Segment,1,1,Image 1,2,1,100000011,510000002643,
986,,Segment,1,3,Image 1,2,1,100000011,510000002661,
1401,,Segment,1,3,Image 1,3,1,100000011,510000002664,
3737,,Segment,1,3,Image 1,2,1,100000011,510000002675,
1348,,Segment,1,2,Image 1,1,1,100000012,510000002702,
4042,,Segment,1,3,Image 1,1,1,100000012,510000002709,
933,,Segment,1,4,Image 1,1,1,100000012,510000002731,
673,,Segment,1,4,Image 1,2,1,100000012,510000002740,
1214,,Segment,1,2,Image 1,2,1,100000012,510000002746,
1775,,Segment,1,3,Image 1,2,1,100000012,510000002752,
3405,,Segment,1,4,Image 1,2,1,100000012,510000002760,
1986,,Segment,1,5,Image 1,2,1,100000012,510000002776,
897,,Segment,1,5,Image 1,3,1,100000012,510000002784,
4071,,Segment,1,4,Image 1,3,1,100000012,510000002791,
1451,,Segment,1,1,Image 1,1,1,100000012,510000002813,
2082,,Segment,1,2,Image 1,1,1,100000012,510000002820,
1171,,Segment,1,2,Image 1,2,1,100000012,510000002832,
6012,,Segment,1,3,Image 1,2,1,100000012,510000002836,
395,,Segment,1,2,Image 1,1,1,100000012,510000002867,
4767,,Segment,1,3,Image 1,1,1,100000012,510000002869,
3412,,Segment,1,3,Image 1,2,1,100000012,510000002897,
1787,,Segment,1,2,Image 1,2,1,100000012,510000002921,
3519,,Segment,1,3,Image 1,2,1,100000012,510000002930,
2314,,Segment,1,3,Image 1,3,1,100000012,510000002947,
2746,,Segment,1,2,Image 1,2,1,100000012,510000002966,
719,,Segment,1,3,Image 1,3,1,100000012,510000002982,
2295,,Segment,1,4,Image 1,3,1,100000012,510000002984,
2804,,Segment,1,4,Image 1,4,1,100000012,510000002999,
1070,,Segment,1,3,Image 1,2,1,100000012,510000003014,
3321,,Segment,1,3,Image 1,3,1,100000012,510000003020,
3737,,Segment,1,3,Image 1,1,1,100000013,510000003039,
1307,,Segment,1,3,Image 1,2,1,100000013,510000003056,
1476,,Segment,1,4,Image 1,2,1,100000013,510000003061,
730,,Segment,1,4,Image 1,3,1,100000013,510000003074,
765,,Segment,1,3,Image 1,2,1,100000013,510000003081,
1253,,Segment,1,4,Image 1,2,1,100000013,510000003083,
761,,Segment,1,4,Image 1,3,1,100000013,510000003090,
1869,,Segment,1,5,Image 1,3,1,100000013,510000003093,
935,,Segment,1,5,Image 1,4,1,100000013,510000003106,
1668,,Segment,1,4,Image 1,3,1,100000013,510000003111,
2229,,Segment,1,4,Image 1,4,1,100000013,510000003122,
1750,,Segment,1,1,Image 1,1,1,100000013,510000003143,
544,,Segment,1,1,Image 1,1,1,100000013,510000003156,
3493,,Segment,1,2,Image 1,1,1,100000013,510000003160,
630,,Segment,1,2,Image 1,2,1,100000013,510000003185,
929,,Segment,1,3,Image 1,2,1,100000013,510000003188,
2688,,Segment,1,4,Image 1,2,1,100000013,510000003191,
1050,,Segment,1,4,Image 1,3,1,100000013,510000003206,
376,,Segment,1,1,Image 1,1,1,100000013,510000003211,
4156,,Segment,1,4,Image 1,1,1,100000013,510000003215,
1671,,Segment,1,4,Image 1,2,1,100000013,510000003235,
1346,,Segment,1,3,Image 1,2,1,100000013,510000003244,
533,,Segment,1,2,Image 1,2,1,100000013,510000003251,
2199,,Segment,1,3,Image 1,2,1,100000013,510000003253,
3078,,Segment,1,3,Image 1,3,1,100000013,510000003269,
2308,,Segment,1,3,Image 1,3,1,100000013,510000003292,
504,,Segment,1,2,Image 1,1,1,100000000,510000003309,
510,,Segment,1,1,Image 1,1,1,100000000,510000003310,
495,,Segment,1,2,Image 1,1,1,100000000,510000003311,
510,,Segment,1,1,Image 1,1,1,100000001,510000003312,
475,,Segment,1,2,Image 1,1,1,100000001,510000003313,
496,,Segment,1,1,Image 1,1,1,100000002,510000003314,
510,,Segment,1,1,Image 1,1,1,100000002,510000003315,
223,,Segment,1,2,Image 1,1,1,100000002,510000003316,
255,,Segment,1,0,Image 1,1,1,100000003,510000003317,
496,,Segment,1,1,Image 1,1,1,100000003,510000003318,
510,,Segment,1,1,Image 1,2,1,100000003,510000003319,
510,,Segment,1,2,Image 1,2,1,100000003,510000003320,
510,,Segment,1,6,Image 1,4,1,100000003,510000003321,
381,,Segment,1,7,Image 1,4,1,100000003,510000003322,
332,,Segment,1,7,Image 1,5,1,100000003,510000003323,
340,,Segment,1,4,Image 1,5,1,100000003,510000003324,
255,,Segment,1,0,Image 1,1,1,100000004,510000003325,
505,,Segment,1,1,Image 1,2,1,100000004,510000003326,
170,,Segment,1,0,Image 1,1,1,100000004,510000003327,
510,,Segment,1,1,Image 1,1,1,100000005,510000003328,
219,,Segment,1,1,Image 1,1,1,100000006,510000003329,
470,,Segment,1,2,Image 1,2,1,100000006,510000003330,
249,,Segment,1,1,Image 1,1,1,100000006,510000003331,
375,,Segment,1,1,Image 1,1,1,100000007,510000003332,
477,,Segment,1,1,Image 1,1,1,100000007,510000003333,
255,,Segment,1,0,Image 1,1,1,100000008,510000003334,
503,,Segment,1,1,Image 1,1,1,100000008,510000003335,
190,,Segment,1,0,Image 1,1,1,100000009,510000003336,
417,,Segment,1,2,Image 1,1,1,100000009,510000003337,
