
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
109294,6333.02,-9.04199,µm,Segment,Segment Position,4,1,1,100000008,510000001980,
110558,5909.12,-16.8704,µm,Segment,Segment Position,4,1,1,100000012,510000002731,
109970,5412.21,11.7978,µm,Segment,Segment Position,4,1,1,100000013,510000003215,
110211,5656.49,15.3592,µm,Segment,Segment Position,4,2,1,100000001,510000000524,
110256,5649.39,16.9087,µm,Segment,Segment Position,4,2,1,100000001,510000000610,
109316,5160.87,-6.37835,µm,Segment,Segment Position,4,2,1,100000002,510000000743,
109775,5778.95,10.7978,µm,Segment,Segment Position,4,2,1,100000003,510000000886,
109267,6343.8,-8.28123,µm,Segment,Segment Position,4,2,1,100000008,510000002005,
109460,6375.27,-5.4174,µm,Segment,Segment Position,4,2,1,100000010,510000002290,
109423,6312.36,12.2497,µm,Segment,Segment Position,4,2,1,100000010,510000002447,
109648,6059.67,14.7523,µm,Segment,Segment Position,4,2,1,100000011,510000002565,
110550,5912.37,-11.7528,µm,Segment,Segment Position,4,2,1,100000012,510000002740,
110583,5948.34,17.9003,µm,Segment,Segment Position,4,2,1,100000012,510000002760,
110044,5395.55,0.474334,µm,Segment,Segment Position,4,2,1,100000013,510000003061,
110065,5427.46,11.1335,µm,Segment,Segment Position,4,2,1,100000013,510000003083,
109972,5499.07,7.35251,µm,Segment,Segment Position,4,2,1,100000013,510000003191,
109983,5452.45,18.8873,µm,Segment,Segment Position,4,2,1,100000013,510000003235,
110210,5635.6,8.16639,µm,Segment,Segment Position,4,3,1,100000001,510000000599,
109785,5818.1,18.58,µm,Segment,Segment Position,4,3,1,100000003,510000000899,
109781,5792.06,-5.21145,µm,Segment,Segment Position,4,3,1,100000003,510000001138,
110063,6135.6,-0.374342,µm,Segment,Segment Position,4,3,1,100000004,510000001275,
109462,6400.54,6.76717,µm,Segment,Segment Position,4,3,1,100000010,510000002331,
109430,6269.86,10.4483,µm,Segment,Segment Position,4,3,1,100000010,510000002417,
109423,6318.04,7.50686,µm,Segment,Segment Position,4,3,1,100000010,510000002454,
109631,6049.39,18.2223,µm,Segment,Segment Position,4,3,1,100000011,510000002578,
110613,5954.32,15.2393,µm,Segment,Segment Position,4,3,1,100000012,510000002791,
110603,6011.64,16.9557,µm,Segment,Segment Position,4,3,1,100000012,510000002984,
110035,5399.94,12.3822,µm,Segment,Segment Position,4,3,1,100000013,510000003074,
110055,5433.31,10.6954,µm,Segment,Segment Position,4,3,1,100000013,510000003090,
110069,5456.29,17.1857,µm,Segment,Segment Position,4,3,1,100000013,510000003111,
109979,5501.13,18.9876,µm,Segment,Segment Position,4,3,1,100000013,510000003206,
109795,5808.56,19.6376,µm,Segment,Segment Position,4,4,1,100000003,510000000907,
109831,5878.93,12.5493,µm,Segment,Segment Position,4,4,1,100000003,510000001057,
110071,6136.33,14.1086,µm,Segment,Segment Position,4,4,1,100000004,510000001293,
109436,6278.76,4.37573,µm,Segment,Segment Position,4,4,1,100000010,510000002428,
110596,6029.55,9.90434,µm,Segment,Segment Position,4,4,1,100000012,510000002999,
110061,5467.47,-0.384929,µm,Segment,Segment Position,4,4,1,100000013,510000003122,
109841,5834.88,18.7041,µm,Segment,Segment Position,4,5,1,100000003,510000003324,
110609,5905.48,7.56166,µm,Segment,Segment Position,5,2,1,100000012,510000002776,
109391,6339.69,6.93117,µm,Segment,Segment Position,5,3,1,100000010,510000002456,
110596,5897.55,7.61158,µm,Segment,Segment Position,5,3,1,100000012,510000002784,
110070,5441.96,-4.87462,µm,Segment,Segment Position,5,3,1,100000013,510000003093,
109817,5937.34,7.86845,µm,Segment,Segment Position,5,4,1,100000003,510000001037,
109396,6339.97,6.70595,µm,Segment,Segment Position,5,4,1,100000010,510000002459,
