
Segment Time
 ==================== 
Segment Time,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,s,Segment,2,1,1,100000012,510000002702,
0,s,Segment,3,1,1,100000012,510000002709,
0,s,Segment,4,1,1,100000012,510000002731,
0,s,Segment,4,2,1,100000012,510000002740,
0,s,Segment,2,2,1,100000012,510000002746,
0,s,Segment,3,2,1,100000012,510000002752,
0,s,Segment,4,2,1,100000012,510000002760,
0,s,Segment,5,2,1,100000012,510000002776,
0,s,Segment,5,3,1,100000012,510000002784,
0,s,Segment,4,3,1,100000012,510000002791,
0,s,Segment,1,1,1,100000012,510000002813,
0,s,Segment,2,1,1,100000012,510000002820,
0,s,Segment,2,2,1,100000012,510000002832,
0,s,Segment,3,2,1,100000012,510000002836,
0,s,Segment,2,1,1,100000012,510000002867,
0,s,Segment,3,1,1,100000012,510000002869,
0,s,Segment,3,2,1,100000012,510000002897,
0,s,Segment,2,2,1,100000012,510000002921,
0,s,Segment,3,2,1,100000012,510000002930,
0,s,Segment,3,3,1,100000012,510000002947,
0,s,Segment,2,2,1,100000012,510000002966,
0,s,Segment,3,3,1,100000012,510000002982,
0,s,Segment,4,3,1,100000012,510000002984,
0,s,Segment,4,4,1,100000012,510000002999,
0,s,Segment,3,2,1,100000012,510000003014,
0,s,Segment,3,3,1,100000012,510000003020,
0,s,Segment,3,1,1,100000013,510000003039,
0,s,Segment,3,2,1,100000013,510000003056,
0,s,Segment,4,2,1,100000013,510000003061,
0,s,Segment,4,3,1,100000013,510000003074,
0,s,Segment,3,2,1,100000013,510000003081,
0,s,Segment,4,2,1,100000013,510000003083,
0,s,Segment,4,3,1,100000013,510000003090,
0,s,Segment,5,3,1,100000013,510000003093,
0,s,Segment,5,4,1,100000013,510000003106,
0,s,Segment,4,3,1,100000013,510000003111,
0,s,Segment,4,4,1,100000013,510000003122,
0,s,Segment,1,1,1,100000013,510000003143,
0,s,Segment,1,1,1,100000013,510000003156,
0,s,Segment,2,1,1,100000013,510000003160,
0,s,Segment,2,2,1,100000013,510000003185,
0,s,Segment,3,2,1,100000013,510000003188,
0,s,Segment,4,2,1,100000013,510000003191,
0,s,Segment,4,3,1,100000013,510000003206,
0,s,Segment,1,1,1,100000013,510000003211,
0,s,Segment,4,1,1,100000013,510000003215,
0,s,Segment,4,2,1,100000013,510000003235,
0,s,Segment,3,2,1,100000013,510000003244,
0,s,Segment,2,2,1,100000013,510000003251,
0,s,Segment,3,2,1,100000013,510000003253,
0,s,Segment,3,3,1,100000013,510000003269,
0,s,Segment,3,3,1,100000013,510000003292,
0,s,Segment,2,1,1,100000000,510000003309,
0,s,Segment,1,1,1,100000000,510000003310,
0,s,Segment,2,1,1,100000000,510000003311,
0,s,Segment,1,1,1,100000001,510000003312,
0,s,Segment,2,1,1,100000001,510000003313,
0,s,Segment,1,1,1,100000002,510000003314,
0,s,Segment,1,1,1,100000002,510000003315,
0,s,Segment,2,1,1,100000002,510000003316,
0,s,Segment,0,1,1,100000003,510000003317,
0,s,Segment,1,1,1,100000003,510000003318,
0,s,Segment,1,2,1,100000003,510000003319,
0,s,Segment,2,2,1,100000003,510000003320,
0,s,Segment,6,4,1,100000003,510000003321,
0,s,Segment,7,4,1,100000003,510000003322,
0,s,Segment,7,5,1,100000003,510000003323,
0,s,Segment,4,5,1,100000003,510000003324,
0,s,Segment,0,1,1,100000004,510000003325,
0,s,Segment,1,2,1,100000004,510000003326,
0,s,Segment,0,1,1,100000004,510000003327,
0,s,Segment,1,1,1,100000005,510000003328,
0,s,Segment,1,1,1,100000006,510000003329,
0,s,Segment,2,2,1,100000006,510000003330,
0,s,Segment,1,1,1,100000006,510000003331,
0,s,Segment,1,1,1,100000007,510000003332,
0,s,Segment,1,1,1,100000007,510000003333,
0,s,Segment,0,1,1,100000008,510000003334,
0,s,Segment,1,1,1,100000008,510000003335,
0,s,Segment,0,1,1,100000009,510000003336,
0,s,Segment,2,1,1,100000009,510000003337,
0,s,Segment,0,1,1,100000010,510000003338,
0,s,Segment,0,1,1,100000010,510000003339,
0,s,Segment,0,1,1,100000011,510000003340,
0,s,Segment,1,1,1,100000011,510000003341,
0,s,Segment,1,2,1,100000011,510000003342,
0,s,Segment,2,2,1,100000011,510000003343,
0,s,Segment,3,2,1,100000011,510000003344,
0,s,Segment,1,2,1,100000011,510000003345,
0,s,Segment,2,2,1,100000011,510000003346,
0,s,Segment,0,1,1,100000011,510000003347,
0,s,Segment,1,1,1,100000012,510000003348,
0,s,Segment,1,1,1,100000012,510000003349,
0,s,Segment,1,1,1,100000013,510000003350,
0,s,Segment,2,1,1,100000013,510000003351,
0,s,Segment,2,2,1,100000013,510000003352,
0,s,Segment,3,3,1,100000013,510000003353,
0,s,Segment,2,1,1,100000013,510000003354,
0,s,Segment,3,1,1,100000013,510000003355,
